ALC Code,ALC Name,SBU
57210057,Lifeline Computers,SBU 7
57210320,Panchawati Computer Academy,SBU 7
57210087,Ram Computer Training Center,SBU 4
57210389,SHRI GAJANAN COMPUTERS,SBU 6
57210491,Navjeevan Computer Institute,SBU 4
57210220,E-Tech Computers,SBU 6
57210227,Sarthak Computers,SBU 4
57210425,NewStar Infotech,SBU 4
57210353,Mauli Computers,SBU 4
57210322,Vision Computers,SBU 4
57210483,Aarya Computer Institute,SBU 4
57210251,Perfect Computers Academy,SBU 6
57210323,Yash Computer Academy,SBU 6
57210364,Ideal Infotech,SBU 4
57210439,Vision InfoTech,SBU 7
57210016,Korus Computers,SBU 4
57210373,NEWTECH COMPUTER EDUCATION,SBU 7
57210122,Prachi Computer Academy,SBU 6
57210299,Icon Technical Institute,SBU 6
57210039,Briteone Computers,SBU 4
57210397,SATPUTE COMPUTERS,SBU 7
57210292,Micro Computers,SBU 7
57210189,Appex Infotech,SBU 7
57210091,Perfect Computer Education,SBU 6
57210555,Perfect Computers,SBU 6
57210126,Linkage Computer Institute,SBU 4
57210003,Master Infocom,SBU 7
57210052,Datasoft Computers,SBU 4
57210568,KORUS COMPUTER,SBU 4
57210382,TANISHAQ INSTITUTE OF INFORMATION TECHNOLOGY,SBU 7
57210300,Atharva Computer`S,SBU 6
57210205,Skylark Computer,SBU 6
57210530,INSTITUTE OF ACCOUNTING AND COMPUTER EXPERT,SBU 6
57210231,Professional Computer Education,SBU 7
57210377,SUSHRUT COMPUTER INSTITUTE,SBU 6
57210499,GENIUS COMPUTER INSTITUTE,SBU 6
57210418,Manas Computer Institute,SBU 4
57210481,AADARSH COMPUTERS,SBU 6
57210061,Mediatech Computers Academy,SBU 7
57210356,Shri R. S. Gunjal Education Socity.,SBU 7
57210539,Educare Computers,SBU 4
57210165,Syspro Computers,SBU 6
57210196,Data Soft Computer,SBU 7
57210387,SHREE COMPUTER,SBU 4
57210365,Shree Sai Computers,SBU 4
57210325,Unique Computer,SBU 7
57210398,GANESH COMPUTERS,SBU 7
57210085,Nice Computer Training Centre,SBU 4
57210558,New Dnyanai Computers,SBU 4
57210261,Msc Computer,SBU 7
57210275,Shri Acharya Computer`S,SBU 6
